id,rate_unemployment,percent_college,percent_married,median_income,average_act,percent_lunch,year,state,LEAID,zip_code,school_type,school_level,charter,school_code,id_support,Tot_salary_exp,Tot_salary_exp_federal
120039000591,0.0795807453416149,0.375599725839616,0.471598414795244,38911.0,15.5128205128205,0.762201453790239,2016-2017,FL,1200390,33013,Regular School,High,No,367.0,120039000367,4495956.62,4495956.62
120039000592,0.0959507042253521,0.721105527638191,0.823115577889447,66385.0,15.3174603174603,0.726840855106888,2016-2017,FL,1200390,33014,Regular School,High,No,367.0,120039000367,4495956.62,4495956.62
120039000593,0.21231884057971,0.239157631359466,0.556390977443609,25114.0,15.7814407814408,0.858131487889273,2016-2017,FL,1200390,33034,Regular School,High,No,367.0,120039000367,4495956.62,4495956.62
120039000594,0.0,0.677475898334794,1.0,36250.0,19.5665445665446,0.57864941366761,2016-2017,FL,1200390,33139,Regular School,High,No,367.0,120039000367,4495956.62,4495956.62
120039000595,0.195289206917114,0.389051288865267,0.542695836273818,45873.0,16.2698412698413,0.805045871559633,2016-2017,FL,1200390,33056,Regular School,High,No,367.0,120039000367,4495956.62,4495956.62
120039000596,0.275013376136972,0.342292490118577,0.526946107784431,21844.0,14.6825396825397,0.782985226693836,2016-2017,FL,1200390,33147,Regular School,High,No,367.0,120039000367,4495956.62,4495956.62
120039000599,0.166166166166166,0.60130515848353,0.69601677148847,37332.0,19.2246642246642,0.690401396160559,2016-2017,FL,1200390,33165,Regular School,High,No,367.0,120039000367,4495956.62,4495956.62
120039000600,0.196588139723802,0.258319232938522,0.265013054830287,24715.0,14.6336996336996,0.878103837471783,2016-2017,FL,1200390,33127,Regular School,High,No,367.0,120039000367,4495956.62,4495956.62
120039000601,0.200777831793875,0.214015946286194,0.444055944055944,15170.0,15.9035409035409,0.874747474747475,2016-2017,FL,1200390,33142,Regular School,High,No,367.0,120039000367,4495956.62,4495956.62
120039000602,0.0241702741702742,0.755433119069483,0.817027632561613,94439.0,19.5909645909646,0.505472233481962,2016-2017,FL,1200390,33176,Regular School,High,No,367.0,120039000367,4495956.62,4495956.62
120039000603,0.179159663865546,0.500311720698254,0.576603773584906,59688.0,15.7326007326007,0.750155376009944,2016-2017,FL,1200390,33169,Regular School,High,No,367.0,120039000367,4495956.62,4495956.62
120039000604,0.206257982120051,0.336070060207991,0.109026963657679,23190.0,15.5128205128205,0.813839559093693,2016-2017,FL,1200390,33150,Regular School,High,No,367.0,120039000367,4495956.62,4495956.62
120039000605,0.0867908552074513,0.849171047310958,0.865930599369085,97500.0,22.2771672771673,0.302137067059691,2016-2017,FL,1200390,33156,Regular School,High,No,367.0,120039000367,4495956.62,4495956.62
120039000606,0.0765595463137996,0.612964728312679,0.223564954682779,23644.0,18.1257631257631,0.819230769230769,2016-2017,FL,1200390,33135,Regular School,High,No,367.0,120039000367,4495956.62,4495956.62
120039000607,0.103471749489449,0.760282776349614,0.741176470588235,70306.0,18.980463980464,0.714690867838911,2016-2017,FL,1200390,33166,Regular School,High,No,367.0,120039000367,4495956.62,4495956.62
120039000608,0.0542828685258964,0.610659072416599,0.815094339622642,65854.0,18.3211233211233,0.601249349297241,2016-2017,FL,1200390,33183,Regular School,High,No,367.0,120039000367,4495956.62,4495956.62
120039000609,0.146739130434783,0.554462164913471,0.7088,29519.0,18.8827838827839,0.689024390243902,2016-2017,FL,1200390,33162,Regular School,High,No,367.0,120039000367,4495956.62,4495956.62
120039000610,0.19625468164794,0.403335602450647,0.669763513513513,32333.0,16.4407814407814,0.82690794649882,2016-2017,FL,1200390,33161,Regular School,High,No,367.0,120039000367,4495956.62,4495956.62
120039000612,0.0926335757192539,0.682363264112314,0.778818022235225,60673.0,18.1990231990232,0.747637915269735,2016-2017,FL,1200390,33030,Regular School,High,No,367.0,120039000367,4495956.62,4495956.62
120039000613,0.0488953277797899,0.834707780566511,0.846875,60521.0,18.2967032967033,0.683275563258232,2016-2017,FL,1200390,33155,Regular School,High,No,367.0,120039000367,4495956.62,4495956.62
120039000614,0.113262342691191,0.335173501577287,0.346687211093991,27561.0,16.5873015873016,0.783000949667616,2016-2017,FL,1200390,33157,Regular School,High,No,367.0,120039000367,4495956.62,4495956.62
120039000615,0.0799214806505889,0.527429274292743,0.494654312188168,52715.0,19.4688644688645,0.663598857505554,2016-2017,FL,1200390,33165,Regular School,High,No,367.0,120039000367,4495956.62,4495956.62
120039001443,0.0801702731465058,0.735976065818998,0.648902821316614,36651.0,26.1355311355311,0.267782426778243,2016-2017,FL,1200390,33176,Regular School,High,No,367.0,120039000367,4495956.62,4495956.62
120039001478,0.275013376136972,0.342292490118577,0.526946107784431,21844.0,16.7826617826618,0.788436268068331,2016-2017,FL,1200390,33147,Regular School,High,No,367.0,120039000367,4495956.62,4495956.62
120039002735,0.0970289582549831,0.612211221122112,0.896114864864865,85893.0,18.8583638583639,0.636363636363636,2016-2017,FL,1200390,33185,Regular School,High,No,367.0,120039000367,4495956.62,4495956.62
